ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
423  Fixation  Fixation  14.8   -29.7  233.0  14
424  Fixation  Fixation  5.5   -9.3  233.0  14
425  Fixation  Fixation  8.2   2.7  233.0  14
426  Fixation  Fixation  5.6   -2.7  233.0  14
427  Fixation  Fixation  3.1   -2.5  233.0  14
428  Fixation  Fixation  5.2   2.1  233.0  14
429  Fixation  Fixation  4.7   -0.4  233.0  14
430  Fixation  Fixation  5.3   0.6  233.0  14
431  Fixation  Fixation  3.8   -1.6  233.0  14
432  Fixation  Fixation  1.7   -2.0  233.0  14
433  Fixation  Fixation  4.2   2.4  233.0  14
434  Fixation  Fixation  10.8   6.6  233.0  14
435  Fixation  Fixation  4.7   -6.0  233.0  14
436  Fixation  Fixation  10.2   5.5  233.0  14
437  Saccade  Saccade  34.9   24.7  50.0  15
438  Saccade  Saccade  120.7   85.8  50.0  15
439  Saccade  Saccade  34.9   -85.8  50.0  15
440  Fixation  Fixation  10.0   -24.9  167.0  15
441  Fixation  Fixation  6.1   -3.9  167.0  15
442  Fixation  Fixation  4.8   -1.3  167.0  15
443  Fixation  Fixation  7.8   3.0  167.0  15
444  Fixation  Fixation  6.8   -0.9  167.0  15
445  Fixation  Fixation  1.5   -5.3  167.0  15
446  Fixation  Fixation  4.8   3.4  167.0  15
447  Fixation  Fixation  7.2   2.4  167.0  15
448  Fixation  Fixation  6.1   -1.1  167.0  15
449  Fixation  Fixation  22.3   16.3  167.0  15
450  Saccade  Saccade  278.6   256.3  50.0  16
451  Saccade  Saccade  181.7   -96.9  50.0  16
452  Saccade  Saccade  141.8   -39.8  50.0  16
453  Fixation  Fixation  26.5   -115.3  283.0  16
454  Fixation  Fixation  26.7   0.2  283.0  16
455  Fixation  Fixation  11.1   -15.6  283.0  16
456  Fixation  Fixation  10.6   -0.5  283.0  16
457  Fixation  Fixation  5.3   -5.3  283.0  16
458  Fixation  Fixation  10.0   4.7  283.0  16
459  Fixation  Fixation  1.8   -8.3  283.0  16
460  Fixation  Fixation  10.8   9.1  283.0  16
461  Fixation  Fixation  13.4   2.5  283.0  16
462  Fixation  Fixation  8.1   -5.3  283.0  16
463  Fixation  Fixation  11.3   3.2  283.0  16
464  Fixation  Fixation  4.0   -7.3  283.0  16
465  Fixation  Fixation  6.3   2.3  283.0  16
466  Fixation  Fixation  5.9   -0.4  283.0  16
467  Fixation  Fixation  13.9   8.0  283.0  16
468  Fixation  Fixation  12.1   -1.9  283.0  16
469  Fixation  Fixation  19.8   7.8  283.0  16
470  Saccade  Saccade  48.8   29.0  67.0  17
471  Saccade  Saccade  209.5   160.7  67.0  17
472  Saccade  Saccade  145.1   -64.5  67.0  17
473  Saccade  Saccade  36.1   -109.0  67.0  17
474  Fixation  Fixation  5.1   -30.9  183.0  17
475  Fixation  Fixation  9.7   4.6  183.0  17
476  Fixation  Fixation  10.6   0.9  183.0  17
477  Fixation  Fixation  4.9   -5.7  183.0  17
478  Fixation  Fixation  12.5   7.6  183.0  17
479  Fixation  Fixation  2.0   -10.4  183.0  17
480  Fixation  Fixation  9.4   7.4  183.0  17
481  Fixation  Fixation  13.9   4.5  183.0  17
482  Fixation  Fixation  6.2   -7.7  183.0  17
483  Fixation  Fixation  3.2   -3.0  183.0  17
484  Fixation  Fixation  3.6   0.4  183.0  17
485  Saccade  Saccade  111.5   107.9  50.0  18
486  Saccade  Saccade  154.9   43.5  50.0  18
487  Saccade  Saccade  104.7   -50.3  50.0  18
488  Fixation  Fixation  23.3   -81.4  267.0  18
489  Fixation  Fixation  10.0   -13.3  267.0  18
490  Fixation  Fixation  10.6   0.6  267.0  18
491  Fixation  Fixation  13.2   2.7  267.0  18
492  Fixation  Fixation  9.4   -3.8  267.0  18
493  Fixation  Fixation  7.5   -1.9  267.0  18
494  Fixation  Fixation  18.2   10.7  267.0  18
495  Fixation  Fixation  9.7   -8.5  267.0  18
496  Fixation  Fixation  9.6   -0.2  267.0  18
497  Fixation  Fixation  12.6   3.0  267.0  18
498  Fixation  Fixation  4.3   -8.3  267.0  18
499  Fixation  Fixation  9.2   5.0  267.0  18
500  Fixation  Fixation  14.6   5.4  267.0  18
501  Fixation  Fixation  3.1   -11.5  267.0  18
502  Fixation  Fixation  6.9   3.8  267.0  18
503  Fixation  Fixation  8.4   1.5  267.0  18
504  Saccade  Saccade  67.6   59.2  16.0  19
505  Fixation  Fixation  10.1   -57.5  434.0  19
506  Fixation  Fixation  11.4   1.3  434.0  19
507  Fixation  Fixation  12.9   1.5  434.0  19
508  Fixation  Fixation  0.7   -12.2  434.0  19
509  Fixation  Fixation  2.6   1.8  434.0  19
