ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
367  Fixation  Fixation  3.1   2.0  450.0  8
368  Fixation  Fixation  28.5   25.5  450.0  8
369  Saccade  Saccade  163.2   134.7  33.0  8
370  Saccade  Saccade  77.9   -85.3  33.0  8
371  Fixation  Fixation  5.3   -72.6  850.0  9
372  Fixation  Fixation  4.9   -0.4  850.0  9
373  Fixation  Fixation  6.6   1.7  850.0  9
374  Fixation  Fixation  9.0   2.4  850.0  9
375  Fixation  Fixation  0.0   -9.0  850.0  9
376  Fixation  Fixation  6.5   6.5  850.0  9
377  Fixation  Fixation  6.7   0.2  850.0  9
378  Fixation  Fixation  1.9   -4.8  850.0  9
379  Fixation  Fixation  4.7   2.8  850.0  9
380  Fixation  Fixation  6.7   1.9  850.0  9
381  Fixation  Fixation  4.8   -1.9  850.0  9
382  Fixation  Fixation  15.4   10.6  850.0  9
383  Fixation  Fixation  1.4   -14.0  850.0  9
384  Fixation  Fixation  0.0   -1.4  850.0  9
385  Fixation  Fixation  7.8   7.8  850.0  9
386  Fixation  Fixation  5.8   -2.0  850.0  9
387  Fixation  Fixation  2.6   -3.3  850.0  9
388  Fixation  Fixation  6.4   3.8  850.0  9
389  Fixation  Fixation  7.4   1.1  850.0  9
390  Fixation  Fixation  4.7   -2.8  850.0  9
391  Fixation  Fixation  2.3   -2.4  850.0  9
392  Fixation  Fixation  5.2   2.9  850.0  9
393  Fixation  Fixation  4.6   -0.6  850.0  9
394  Fixation  Fixation  8.1   3.5  850.0  9
395  Fixation  Fixation  3.0   -5.1  850.0  9
396  Fixation  Fixation  1.6   -1.4  850.0  9
397  Fixation  Fixation  7.2   5.6  850.0  9
398  Fixation  Fixation  5.2   -2.1  850.0  9
399  Fixation  Fixation  4.2   -1.0  850.0  9
400  Fixation  Fixation  1.2   -3.0  850.0  9
401  Fixation  Fixation  0.7   -0.5  850.0  9
402  Fixation  Fixation  7.1   6.4  850.0  9
403  Fixation  Fixation  13.5   6.5  850.0  9
404  Fixation  Fixation  4.7   -8.9  850.0  9
405  Fixation  Fixation  6.1   1.4  850.0  9
406  Fixation  Fixation  2.3   -3.8  850.0  9
407  Fixation  Fixation  3.2   0.9  850.0  9
408  Fixation  Fixation  3.1   -0.1  850.0  9
409  Fixation  Fixation  9.6   6.5  850.0  9
410  Fixation  Fixation  3.0   -6.7  850.0  9
411  Fixation  Fixation  9.4   6.4  850.0  9
412  Fixation  Fixation  7.0   -2.3  850.0  9
413  Fixation  Fixation  6.2   -0.8  850.0  9
414  Fixation  Fixation  1.4   -4.8  850.0  9
415  Fixation  Fixation  1.5   0.0  850.0  9
416  Fixation  Fixation  4.5   3.0  850.0  9
417  Fixation  Fixation  1.6   -2.8  850.0  9
418  Fixation  Fixation  4.5   2.8  850.0  9
419  Fixation  Fixation  1.4   -3.1  850.0  9
420  Fixation  Fixation  11.3   9.9  850.0  9
421  Fixation  Fixation  9.5   -1.8  850.0  9
422  Saccade  Saccade  186.6   177.1  50.0  9
423  Saccade  Saccade  181.6   -4.9  50.0  9
424  Saccade  Saccade  96.5   -85.1  50.0  9
425  Fixation  Fixation  14.5   -82.0  750.0  10
426  Fixation  Fixation  3.7   -10.8  750.0  10
427  Fixation  Fixation  6.5   2.9  750.0  10
428  Fixation  Fixation  1.9   -4.6  750.0  10
429  Fixation  Fixation  7.3   5.4  750.0  10
430  Fixation  Fixation  3.8   -3.5  750.0  10
431  Fixation  Fixation  1.4   -2.4  750.0  10
432  Fixation  Fixation  1.0   -0.4  750.0  10
433  Fixation  Fixation  0.6   -0.5  750.0  10
434  Fixation  Fixation  3.8   3.2  750.0  10
435  Fixation  Fixation  4.3   0.5  750.0  10
436  Fixation  Fixation  2.7   -1.6  750.0  10
437  Fixation  Fixation  4.7   2.0  750.0  10
438  Fixation  Fixation  2.2   -2.5  750.0  10
439  Fixation  Fixation  3.6   1.4  750.0  10
