ID  MINE      GT       VEL   DUR    GROUP_ID
511  Saccade  Saccade  66.2  17.0  15
512  Fixation  Fixation  0.0  416.0  15
513  Fixation  Fixation  7.0  416.0  15
514  Fixation  Fixation  3.9  416.0  15
515  Fixation  Fixation  0.5  416.0  15
516  Fixation  Fixation  1.2  416.0  15
517  Fixation  Fixation  1.9  416.0  15
518  Fixation  Fixation  0.4  416.0  15
519  Fixation  Fixation  14.8  416.0  15
520  Fixation  Fixation  2.2  416.0  15
521  Fixation  Fixation  7.2  416.0  15
522  Fixation  Fixation  0.0  416.0  15
523  Fixation  Fixation  1.4  416.0  15
524  Fixation  Fixation  8.3  416.0  15
525  Fixation  Fixation  0.4  416.0  15
526  Fixation  Fixation  3.5  416.0  15
527  Fixation  Fixation  4.1  416.0  15
528  Fixation  Fixation  3.4  416.0  15
529  Fixation  Fixation  2.0  416.0  15
530  Fixation  Fixation  10.7  416.0  15
531  Fixation  Fixation  0.0  416.0  15
532  Fixation  Fixation  4.7  416.0  15
533  Fixation  Fixation  12.5  416.0  15
534  Fixation  Fixation  9.6  416.0  15
535  Fixation  Fixation  10.8  416.0  15
536  Fixation  Fixation  13.5  416.0  15
537  Saccade  Saccade  101.4  34.0  16
538  Saccade  Saccade  49.4  34.0  16
539  Fixation  Fixation  6.7  383.0  16
540  Fixation  Fixation  6.9  383.0  16
541  Fixation  Fixation  6.4  383.0  16
542  Fixation  Fixation  4.2  383.0  16
543  Fixation  Fixation  3.9  383.0  16
544  Fixation  Fixation  5.0  383.0  16
545  Fixation  Fixation  1.4  383.0  16
546  Fixation  Fixation  0.0  383.0  16
547  Fixation  Fixation  5.2  383.0  16
548  Fixation  Fixation  6.8  383.0  16
549  Fixation  Fixation  5.1  383.0  16
550  Fixation  Fixation  0.3  383.0  16
551  Fixation  Fixation  5.3  383.0  16
552  Fixation  Fixation  3.3  383.0  16
553  Fixation  Fixation  2.9  383.0  16
554  Fixation  Fixation  2.2  383.0  16
555  Fixation  Fixation  5.0  383.0  16
556  Fixation  Fixation  1.1  383.0  16
557  Fixation  Fixation  0.0  383.0  16
558  Fixation  Fixation  3.6  383.0  16
559  Fixation  Fixation  0.8  383.0  16
560  Fixation  Fixation  6.0  383.0  16
561  Fixation  Fixation  2.4  383.0  16
562  Saccade  Saccade  105.4  33.0  17
563  Saccade  Saccade  93.6  33.0  17
564  Fixation  Fixation  5.9  450.0  17
565  Fixation  Fixation  0.7  450.0  17
566  Fixation  Fixation  0.7  450.0  17
567  Fixation  Fixation  6.0  450.0  17
568  Fixation  Fixation  0.0  450.0  17
569  Fixation  Fixation  3.4  450.0  17
570  Fixation  Fixation  4.5  450.0  17
571  Fixation  Fixation  1.1  450.0  17
572  Fixation  Fixation  0.0  450.0  17
573  Fixation  Fixation  4.9  450.0  17
574  Fixation  Fixation  5.4  450.0  17
575  Fixation  Fixation  8.1  450.0  17
576  Fixation  Fixation  6.4  450.0  17
577  Fixation  Fixation  6.8  450.0  17
578  Fixation  Fixation  10.6  450.0  17
579  Fixation  Fixation  6.0  450.0  17
580  Fixation  Fixation  6.8  450.0  17
581  Fixation  Fixation  0.6  450.0  17
582  Fixation  Fixation  0.6  450.0  17
583  Fixation  Fixation  5.2  450.0  17
584  Fixation  Fixation  0.0  450.0  17
585  Fixation  Fixation  3.7  450.0  17
586  Fixation  Fixation  5.6  450.0  17
587  Fixation  Fixation  0.0  450.0  17
588  Fixation  Fixation  0.4  450.0  17
589  Fixation  Fixation  7.2  450.0  17
590  Fixation  Fixation  15.4  450.0  17
591  Saccade  Saccade  179.6  84.0  18
592  Saccade  Saccade  211.0  84.0  18
593  Saccade  Saccade  206.7  84.0  18
594  Saccade  Saccade  169.5  84.0  18
595  Saccade  Saccade  122.8  84.0  18
596  Fixation  Fixation  11.8  266.0  18
597  Fixation  Fixation  2.3  266.0  18
598  Fixation  Fixation  1.6  266.0  18
599  Fixation  Fixation  3.4  266.0  18
600  Fixation  Fixation  1.0  266.0  18
601  Fixation  Fixation  0.9  266.0  18
602  Fixation  Fixation  4.9  266.0  18
603  Fixation  Fixation  8.6  266.0  18
604  Fixation  Fixation  8.3  266.0  18
605  Fixation  Fixation  3.9  266.0  18
606  Fixation  Fixation  0.0  266.0  18
607  Fixation  Fixation  6.2  266.0  18
608  Fixation  Fixation  2.3  266.0  18
609  Fixation  Fixation  5.1  266.0  18
610  Fixation  Fixation  2.8  266.0  18
611  Fixation  Fixation  0.0  266.0  18
612  Saccade  Saccade  42.2  34.0  19
613  Saccade  Saccade  60.8  34.0  19
614  Fixation  Fixation  20.1  266.0  19
615  Fixation  Fixation  1.3  266.0  19
616  Fixation  Fixation  0.3  266.0  19
617  Fixation  Fixation  4.2  266.0  19
